"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","7.95","","","8.37","","","7.44","7.4","","","","","","6.53","","","10.43","7.8","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.187","","","","3.333","","10.112","","","14.027","","","16.772","5.503","","",
"Africa Western and Central","AFW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.07698388538877","","","7.49926073806898","","","","","","",
"Angola","AGO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","24.7","28.5","35.1","","","","","","","","","","","","","","","","","","26.133","","","","","2.821","10.87","18.71","","","9.103","","","","","16.546","","15.781","","",
"Albania","ALB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","10.5","28.3","24.2","19.9","14.8","13.6","16.6","20.9","21.4","19.3","19.9","4.978","18.2","17.5","7.07","16.8","16.431","13.722","15.644","15.844","13.753","11.489","13.436","15.52","17.121","14.471","12.504","11.883","11.316","","","","",
"Andorra","AND","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4581270708928","18.1377183383509","19.2909879090746","19.4102279631465","","19.2372709270971","","19.4789193291546","","19.0786199267801","","","","","","","",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","4.51","","","","","","","","","","2.05","","","","","","","","","","2.35","","","","","2.71","","","","","7.06","","","","","","","","","","","4.02","7.135","5.95","5.348","5.715","6.186","7.066","",
"Argentina","ARG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","5.4","4.8","4.19","","","6.6","7.2","7.8","6.93","5.85","6.73","12.7","14.06","22.3","19.31","17.8","14.11","15.18","16.38","17.19","18.83","17.48","15.745","13.521","12.341","","9.68","9.831","9.169","8.485","8.788","8.464","8.362","","","9.446","10.508","10.691","12.36","9.825","7.66","6.778",
"Armenia","ARM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","7.4","8.5","10.4","15.2","17.4","13.3","15","","","","","","","","10.355","25.856","20.525","21.666","20.244","18.591","18.753","19.382","19.227","17.487","17.476","11.434","10.373","9.576","7.275","","",
"American Samoa","ASM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.79","","","","","","","","","","6.01","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","28.26","26.99","27.4","26.46","","","","","","","","","","","","","","","","","","","","","","","","","8.78","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","8.19","7.863","7.43","8.525","10.369","9.477","8.763","8.707","8.625","7.899","6.841","7.193","9.165","9.938","10.007","9.371","8.112","8.241","8.08","7.337","6.663","6.07","6.451","6.174","5.984","5.544","5.224","4.926","4.792","4.582","5.41","5.381","5.307","5.328","5.612","6.173","6.074","5.78","5.669","5.32","5.107","6.349","5.012","3.631","3.551",
"Austria","AUT","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","4","3.8","2.4","2.3","2.1","2.2","2.8","2.7","2.5","2.6","2.5","2.3","2.42","4.27","5.08","3.59","3.54","3.06","4.05","3.99","3.58","3.57","3.54","3.77","4.5","3.964","4.903","5.219","5.278","5.585","4.765","4.596","4.131","4.54","4.348","6.191","5.894","5.647","5.335","4.452","5.127","4.679","4.64","4.827","5.326","5.43","5.373","5.595","5.097","4.731","4.424","5.016","6.403","4.798","5.025",
"Azerbaijan","AZE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","0.23","0.72","0.87","1","1.1","1.24","1.35","18.63","12.73","11.53","10.38","9.27","8.04","7.28","6.33","5.5","5.54","6.58","6.91","6.45","6.09","5.95","5.84","5.87","6","5.9","5.8","5.78","8.44","7","6.54","",
"Burundi","BDI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","","","","","","","","13.2","","","","","","","2.372","","1.142","","","","","","1.171","","","","","","0.981","","","",
"Belgium","BEL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","2.7","3.3","3.9","4.7","7.7","10.5","10.8","13.1","12.76","15","18","18.6","17.796","18.284","17.839","17.931","17.6","15.177","12.993","11.427","10.641","9.497","10.816","12.431","12.21","12.412","11.534","11.702","10.214","8.279","6.921","7.797","7.995","8.28","9.507","9.309","8.444","7.597","8.106","8.516","7.18","7.41","8.171","7.941","7.769","7.561","7.054","5.564","4.937","5.358","5.863","5.253","5.1",
"Benin","BEN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","","","","","","0.59","","","","","","","","","","0.43","","","","","","","","1.14","2.859","","","","","","","1.726","","","","","",
"Burkina Faso","BFA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","2.58","","","","","","","","","3.9","","","","","","","9.237","","","","4.633","","","","5.735","5.735",
"Bangladesh","BGD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","5.27","6.96","2.84","","","0.86","","2.1","","","","","2.19","","","","3.32","","","4.85","","7.03","6.44","","","7.4","4.358","","","7.414","","","7.29","6.681","","","","","8.27","",
"Bulgaria","BGR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","11.8","14.1","15.817","18.861","17.361","13.195","11.624","9.835","9.296","7.286","5.758","6.624","9.608","10.108","10.84","11.845","10.404","8.417","6.969","5.946","4.654","3.875","4.765","5.027","4.056","4.2",
"Bahrain","BHR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68","","3.88","","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","12.3","","27.04","","25.67","","21.15","","","","","","","14.92","","14.2","12.39","7.88","12.1","15.81","13.03","15.22","11.72","14.67","11.34","9.97","9.72","","7.02","","11.84","","11.18","8.02","9.07","9.25","14.04","","15.31","13.97","16.26","14.6","12.9","14.5","10.9","10","","","","","",
